Piloto,nationality,TotalDePontos
"Felipe Massa",Brazilian,1167.00
"Rubens Barrichello",Brazilian,658.00
"Ayrton Senna",Brazilian,614.00
"Nelson Piquet",Brazilian,485.50
"Emerson Fittipaldi",Brazilian,281.00
"Carlos Pace",Brazilian,58.00
"Bruno Senna",Brazilian,33.00
"Felipe Nasr",Brazilian,29.00
"Nelson Piquet Jr",Brazilian,19.00
"Roberto Moreno",Brazilian,15.00
"Cristiano da Matta",Brazilian,13.00
"Christian Fittipaldi",Brazilian,12.00
"Pedro Diniz",Brazilian,10.00
"Maur�_cio Gugelmin",Brazilian,10.00
"Ant̫nio Pizzonia",Brazilian,8.00
"Ricardo Zonta",Brazilian,3.00
"Wilson Fittipaldi",Brazilian,3.00
"Hernando da Silva Ramos",Brazilian,2.00
"Chico Landi",Brazilian,1.50
"Chico Serra",Brazilian,1.00
"Enrique Bernoldi",Brazilian,0.00
"Luciano Burti",Brazilian,0.00
"Tarso Marques",Brazilian,0.00
"Ricardo Rosset",Brazilian,0.00
"Raul Boesel",Brazilian,0.00
"Alex Ribeiro",Brazilian,0.00
"Ingo Hoffmann",Brazilian,0.00
"Luiz Bueno",Brazilian,0.00
"Fritz d'Orey",Brazilian,0.00
"Gino Bianco",Brazilian,0.00
"Lucas di Grassi",Brazilian,0.00
